Date,High,Low,Close,Adj Close,Volume
2018-12-19,3949.322998,3687.22998,3745.950684,3745.950684,6810689119.0
2016-08-30,578.356995,574.114014,577.502991,577.502991,70342400.0
2014-12-16,345.859009,327.062012,327.062012,327.062012,30864900.0
2015-03-02,276.300995,258.312988,275.670013,275.670013,40465700.0
2018-01-04,15739.700195,14522.200195,15599.200195,15599.200195,21783199744.0
2017-02-08,1078.969971,1037.48999,1063.069946,1063.069946,201855008.0
2019-09-25,8744.828125,8325.396484,8486.993164,8486.993164,21744728353.0
2020-08-20,11900.411133,11710.063477,11878.37207,11878.37207,20175242945.0
2020-12-31,29244.876953,28201.992188,29001.720703,29001.720703,46754964848.0
2017-09-14,3920.600098,3153.860107,3154.949951,3154.949951,2716310016.0
2017-11-15,7342.25,6634.759766,7315.540039,7315.540039,4200880128.0
2018-05-03,9798.330078,9188.150391,9743.860352,9743.860352,10207299584.0
2019-10-10,8625.272461,8471.933594,8586.473633,8586.473633,17618660671.0
2018-05-29,7526.419922,7090.680176,7472.589844,7472.589844,5662660096.0
2016-02-09,377.246002,372.89801,376.028992,376.028992,55318500.0
2019-04-24,5642.044434,5418.263184,5464.866699,5464.866699,17048033399.0
2016-01-29,384.378998,365.451996,379.473999,379.473999,86125296.0
2020-05-18,9906.030273,9570.359375,9726.575195,9726.575195,41827139896.0
2018-07-06,6700.939941,6533.549805,6673.5,6673.5,4313959936.0
2018-11-14,6371.549805,5544.089844,5738.350098,5738.350098,7398940000.0
2019-04-15,5196.606934,5024.069336,5067.108398,5067.108398,12290155061.0
2015-08-21,236.432007,231.723999,232.569,232.569,23173800.0
2020-07-30,11169.356445,10895.455078,11111.213867,11111.213867,22857247901.0
2017-12-18,19371.0,18355.900391,19114.199219,19114.199219,14839499776.0
2014-10-15,402.22699,388.765991,394.77301,394.77301,25267100.0
2018-12-05,3969.535889,3753.994873,3753.994873,3753.994873,5302481574.0
2018-01-16,13843.099609,10194.900391,11490.5,11490.5,18853799936.0
2020-06-30,9217.835938,9084.837891,9137.993164,9137.993164,15735797744.0
2016-11-19,756.237,744.46698,751.616028,751.616028,110608000.0
2017-04-19,1215.51001,1205.079956,1210.290039,1210.290039,288060992.0
2020-03-13,5838.114746,4106.980957,5563.707031,5563.707031,74156772075.0
2015-03-05,281.666992,264.769012,276.178009,276.178009,41302400.0
2020-02-26,9354.77832,8704.426758,8820.522461,8820.522461,50420050762.0
2019-04-20,5358.490723,5295.87793,5337.88623,5337.88623,13169647522.0
2017-12-27,16930.900391,15114.299805,15838.5,15838.5,12487600128.0
2018-12-07,3512.590332,3280.22876,3419.937256,3419.937256,6835615448.0
2018-02-21,11418.5,10479.099609,10690.400391,10690.400391,9405339648.0
2021-01-31,34288.332031,32270.175781,33114.359375,33114.359375,52754542671.0
2017-03-17,1180.160034,1099.569946,1100.22998,1100.22998,706598976.0
2016-01-21,422.877014,406.299988,410.261993,410.261993,68338000.0
2017-04-27,1319.699951,1281.300049,1317.72998,1317.72998,449196992.0
2017-09-18,4079.22998,3591.090088,4065.199951,4065.199951,1943209984.0
2017-07-15,2231.139893,1990.410034,1998.859985,1998.859985,993608000.0
2016-04-26,467.964996,461.621002,466.088989,466.088989,78971904.0
2016-10-06,613.81897,611.468994,613.020996,613.020996,56812100.0
2016-07-05,683.491028,665.065979,670.627014,670.627014,130476000.0
2015-05-09,247.804001,239.639008,241.832001,241.832001,19790500.0
2016-09-18,610.15802,605.856018,609.874023,609.874023,48679400.0
2021-02-23,54204.929688,45290.589844,48824.425781,48824.425781,106102492824.0
2017-12-16,19716.699219,17515.300781,19497.400391,19497.400391,12740599808.0
2017-11-16,7967.379883,7176.580078,7871.689941,7871.689941,5123809792.0
